category,key_words,word1,word2,word3,word4,word5,difficulty


Jan 3
Basketball Player Nicknames,legends;basketball;nba;nickname;nicknames,Chef,Mailman,Diesel,Chosen One,Uncle Drew,55
Famous Cartoon Dogs,cartoon;dogs;dog;character,Brian,Odie,Clifford,Scooby,Snoopy,50
Famous Steves,steve;steph,Lacy,Young,Jobs,Nash,Harvey,54
Super Bowl Halftime Performers,nfl;football;performer;performers;half;time,Snoop Dogg,Rihanna,The Weeknd,Michael Jackson,Bruno Mars,49
International Airlines,air;plane;fly;airline;airlines;travel;flight,Lufthansa,Emirates,Delta,Qantas,Air Canada,37
Basketball Player Nicknames,legends;basketball;nba;nickname;nicknames,Chef,Mailman,Diesel,Chosen One,Uncle Drew,55
Famous Cartoon Dogs,cartoon;dogs;dog;character,Brian,Odie,Clifford,Scooby,Snoopy,50
Famous Steves,steve;steph,Lacy,Young,Jobs,Nash,Harvey,54
Super Bowl Halftime Performers,nfl;football;performer;performers;half;time,Snoop Dogg,Rihanna,The Weeknd,Michael Jackson,Bruno Mars,49
International Airlines,air;plane;fly;airline;airlines;travel;flight,Lufthansa,Emirates,Delta,Qantas,Air Canada,37
