category,key_words,word1,word2,word3,word4,word5,difficulty

Famous Short Stories,story;short;literature;tale;fiction,Masque,Lottery,Usher,Hills,Algernon,45
Cult Classic Films,film;movie;cinema;cult;classic,Cult,Midnight,Bizarre,Indie,Reel,48
Basketball Player Nicknames,legends;basketball;nba;nickname;nicknames,Chef,Mailman,Diesel,Chosen One,Uncle Drew,55
Famous Cartoon Dogs,cartoon;dogs;dog;character,Brian,Odie,Clifford,Scooby,Snoopy,50
Famous Steves,steve;steph,Lacy,Young,Jobs,Nash,Harvey,54
Super Bowl Halftime Performers,nfl;football;performer;performers;half;time,Snoop Dogg,Rihanna,The Weeknd,Michael Jackson,Bruno Mars,49
International Airlines,air;plane;fly;airline;airlines;travel;flight,Lufthansa,Emirates,Delta,Qantas,Air Canada,37
Words That Follow "Hot",hot,Wire,Seat,Spot,Shot,Dog,59
Decision-Making Bodies,decision;group;committee;roles;law;school;business;corp;comp;academic;judicial;admin;gov;meet,Chair,Bench,Table,Board,Panel,64
Words That Follow "Gold",gold,Digger,Rush,Coin,Standard,Medal,55
Winter Olympic Sports,cold;winter;olympic;olympics;sport;sports,Figure Skating,Bobsleigh,Ski Jumping,Ice Hockey,Curling,40
Basketball Player Nicknames,legends;basketball;nba;nickname;nicknames,Chef,Mailman,Diesel,Chosen One,Uncle Drew,55
Famous Cartoon Dogs,cartoon;dogs;dog;character,Brian,Odie,Clifford,Scooby,Snoopy,50
Famous Steves,steve;steph,Lacy,Young,Jobs,Nash,Harvey,54
Super Bowl Halftime Performers,nfl;football;performer;performers;half;time,Snoop Dogg,Rihanna,The Weeknd,Michael Jackson,Bruno Mars,49
International Airlines,air;plane;fly;airline;airlines;travel;flight,Lufthansa,Emirates,Delta,Qantas,Air Canada,37
Words That Follow "Hot",hot,Wire,Seat,Spot,Shot,Dog,59
Decision-Making Bodies,decision;group;committee;roles;law;school;business;corp;comp;academic;judicial;admin;gov;meet,Chair,Bench,Table,Board,Panel,64
Words That Follow "Gold",gold,Digger,Rush,Coin,Standard,Medal,55
Winter Olympic Sports,cold;winter;olympic;olympics;sport;sports,Figure Skating,Bobsleigh,Ski Jumping,Ice Hockey,Curling,40
Basketball Player Nicknames,legends;basketball;nba;nickname;nicknames,Chef,Mailman,Diesel,Chosen One,Uncle Drew,55
Famous Cartoon Dogs,cartoon;dogs;dog;character,Brian,Odie,Clifford,Scooby,Snoopy,50
Famous Steves,steve;steph,Lacy,Young,Jobs,Nash,Harvey,54
Super Bowl Halftime Performers,nfl;football;performer;performers;half;time,Snoop Dogg,Rihanna,The Weeknd,Michael Jackson,Bruno Mars,49
International Airlines,air;plane;fly;airline;airlines;travel;flight,Lufthansa,Emirates,Delta,Qantas,Air Canada,37
Words That Follow "Hot",hot,Wire,Seat,Spot,Shot,Dog,59
Decision-Making Bodies,decision;group;committee;roles;law;school;business;corp;comp;academic;judicial;admin;gov;meet,Chair,Bench,Table,Board,Panel,64
Words That Follow "Gold",gold,Digger,Rush,Coin,Standard,Medal,55
Winter Olympic Sports,cold;winter;olympic;olympics;sport;sports,Figure Skating,Bobsleigh,Ski Jumping,Ice Hockey,Curling,40
Basketball Player Nicknames,legends;basketball;nba;nickname;nicknames,Chef,Mailman,Diesel,Chosen One,Uncle Drew,55
